soccode, level1, level2, level3, level4, fullcode, title, description
17-2171,44.88,61.27,77.67,94.06,17-2171.00,Petroleum Engineers,Devise methods to improve oil and gas extraction and production and determine the need for new or modified tool designs. Oversee drilling and offer technical advice.
17-2199,39.46,48.93,58.40,67.87,17-2199.11,Solar Energy Systems Engineers,"Perform site-specific engineering analysis or evaluation of energy efficiency and solar projects involving residential, commercial, or industrial customers. Design solar domestic hot water and space heating systems for new and existing structures, applying knowledge of structural energy requirements, local climates, solar technology, and thermodynamics."
17-2199,39.46,48.93,58.40,67.87,17-2199.10,Wind Energy Engineers,Design underground or overhead wind farm collector systems and prepare and develop site specifications.
17-2199,39.46,48.93,58.40,67.87,17-2199.09,Nanosystems Engineers,"Design, develop, or supervise the production of materials, devices, or systems of unique molecular or macromolecular composition, applying principles of nanoscale physics and electrical, chemical, or biological engineering."
17-2199,39.46,48.93,58.40,67.87,17-2199.08,Robotics Engineers,"Research, design, develop, or test robotic applications."
17-2199,39.46,48.93,58.40,67.87,17-2199.07,Photonics Engineers,"Design technologies specializing in light information or light energy, such as laser or fiber optics technology."
17-2199,39.46,48.93,58.40,67.87,17-2199.06,Microsystems Engineers,"Research, design, develop, or test microelectromechanical systems (MEMS) devices."
17-2199,39.46,48.93,58.40,67.87,17-2199.05,Mechatronics Engineers,"Research, design, develop, or test automation, intelligent systems, smart devices, or industrial systems control."
17-2199,39.46,48.93,58.40,67.87,17-2199.04,Manufacturing Engineers,"Design, integrate, or improve manufacturing systems or related processes. May work with commercial or industrial designers to refine product designs to increase producibility and decrease costs."
17-2199,39.46,48.93,58.40,67.87,17-2199.03,Energy Engineers,"Design, develop, or evaluate energy-related projects or programs to reduce energy costs or improve energy efficiency during the designing, building, or remodeling stages of construction. May specialize in electrical systems; heating, ventilation, and air-conditioning (HVAC) systems; green buildings; lighting; air quality; or energy procurement."
17-2199,39.46,48.93,58.40,67.87,17-2199.02,Validation Engineers,"Design or plan protocols for equipment or processes to produce products meeting internal and external purity, safety, and quality requirements."
17-2199,39.46,48.93,58.40,67.87,17-2199.01,Biochemical Engineers,"Develop usable, tangible products, using knowledge of biology, chemistry, or engineering. Solve problems related to materials, systems, or processes that interact with humans, plants, animals, microorganisms, or biological materials."
17-2199,39.46,48.93,58.40,67.87,17-2199.00,"Engineers, All Other",All engineers not listed separately.
17-3011,22.32,27.47,32.62,37.77,17-3011.02,Civil Drafters,"Prepare drawings and topographical and relief maps used in civil engineering projects, such as highways, bridges, pipelines, flood control projects, and water and sewerage control systems."
17-3011,22.32,27.47,32.62,37.77,17-3011.01,Architectural Drafters,Prepare detailed drawings of architectural designs and plans for buildings and structures according to specifications provided by architect.
17-3011,22.32,27.47,32.62,37.77,17-3011.00,Architectural and Civil Drafters,"Prepare detailed drawings of architectural and structural features of buildings or drawings and topographical relief maps used in civil engineering projects, such as highways, bridges, and public works. Use knowledge of building materials, engineering practices, and mathematics to complete drawings."
17-3012,27.76,34.56,41.37,48.17,17-3012.02,Electrical Drafters,"Develop specifications and instructions for installation of voltage transformers, overhead or underground cables, and related electrical equipment used to conduct electrical energy from transmission lines or high-voltage distribution lines to consumers."
17-3012,27.76,34.56,41.37,48.17,17-3012.01,Electronic Drafters,"Draw wiring diagrams, circuit board assembly diagrams, schematics, and layout drawings used for manufacture, installation, and repair of electronic equipment."
17-3012,27.76,34.56,41.37,48.17,17-3012.00,Electrical and Electronics Drafters,"Prepare wiring diagrams, circuit board assembly diagrams, and layout drawings used for the manufacture, installation, or repair of electrical equipment."
17-3013,21.97,27.39,32.82,38.24,17-3013.00,Mechanical Drafters,"Prepare detailed working diagrams of machinery and mechanical devices, including dimensions, fastening methods, and other engineering information."
17-3019,21.66,28.21,34.77,41.32,17-3019.00,"Drafters, All Other",All drafters not listed separately.
17-3021,27.03,34.25,41.46,48.68,17-3021.00,Aerospace Engineering and Operations Technicians,"Operate, install, calibrate, and maintain integrated computer/communications systems, consoles, simulators, and other data acquisition, test, and measurement instruments and equipment, which are used to launch, track, position, and evaluate air and space vehicles. May record and interpret test data."
17-3022,27.98,33.42,38.85,44.29,17-3022.00,Civil Engineering Technicians,"Apply theory and principles of civil engineering in planning, designing, and overseeing construction and maintenance of structures and facilities under the direction of engineering staff or physical scientists."
17-3023,21.46,28.84,36.21,43.59,17-3023.03,Electrical Engineering Technicians,Test or modify developmental or operational electrical machinery or electrical control equipment and circuitry in industrial or commercial plants or laboratories. Usually work under direction of engineers or technologists.
17-3023,21.46,28.84,36.21,43.59,17-3023.01,Electronics Engineering Technicians,"Lay out, build, test, troubleshoot, repair, and modify developmental and production electronic components, parts, equipment, and systems, such as computer equipment, missile control instrumentation, electron tubes, test equipment, and machine tool numerical controls, applying principles and theories of electronics, electrical circuitry, engineering mathematics, electronic and electrical testing, and physics. Usually work under direction of engineering staff."
17-3023,21.46,28.84,36.21,43.59,17-3023.00,Electrical and Electronic Engineering Technicians,"Apply electrical and electronic theory and related knowledge, usually under the direction of engineering staff, to design, build, repair, calibrate, and modify electrical components, circuitry, controls, and machinery for subsequent evaluation and use by engineering staff in making engineering design decisions."
17-3024,26.87,29.75,32.63,35.51,17-3024.01,Robotics Technicians,"Build, install, test, or maintain robotic equipment or related automated production systems."
17-3024,26.87,29.75,32.63,35.51,17-3024.00,Electro-Mechanical Technicians,"Operate, test, maintain, or calibrate unmanned, automated, servo-mechanical, or electromechanical equipment. May operate unmanned submarines, aircraft, or other equipment at worksites, such as oil rigs, deep ocean exploration, or hazardous waste removal. May assist engineers in testing and designing robotics equipment."
17-3025,21.74,26.34,30.94,35.54,17-3025.00,Environmental Engineering Technicians,"Apply theory and principles of environmental engineering to modify, test, and operate equipment and devices used in the prevention, control, and remediation of environmental problems, including waste treatment and site remediation, under the direction of engineering staff or scientist. May assist in the development of environmental remediation devices."
17-3026,21.56,27.86,34.16,40.46,17-3026.00,Industrial Engineering Technicians,"Apply engineering theory and principles to problems of industrial layout or manufacturing production, usually under the direction of engineering staff. May perform time and motion studies on worker operations in a variety of industries for purposes such as establishing standard production rates or improving efficiency."
17-3027,28.10,32.15,36.20,40.25,17-3027.01,Automotive Engineering Technicians,"Assist engineers in determining the practicality of proposed product design changes and plan and carry out tests on experimental test devices or equipment for performance, durability, or efficiency."
17-3027,28.10,32.15,36.20,40.25,17-3027.00,Mechanical Engineering Technicians,"Apply theory and principles of mechanical engineering to modify, develop, test, or calibrate machinery and equipment under direction of engineering staff or physical scientists."
17-3029,22.62,28.93,35.24,41.55,17-3029.12,Nanotechnology Engineering Technicians,"Operate commercial-scale production equipment to produce, test, or modify materials, devices, or systems of molecular or macromolecular composition. Work under the supervision of engineering staff."
17-3029,22.62,28.93,35.24,41.55,17-3029.11,Nanotechnology Engineering Technologists,"Implement production processes for nanoscale designs to produce or modify materials, devices, or systems of unique molecular or macromolecular composition. Operate advanced microscopy equipment to manipulate nanoscale objects. Work under the supervision of nanoengineering staff."
17-3029,22.62,28.93,35.24,41.55,17-3029.10,Fuel Cell Technicians,"Install, operate, or maintain integrated fuel cell systems in transportation, stationary, or portable applications."
17-3029,22.62,28.93,35.24,41.55,17-3029.09,Manufacturing Production Technicians,"Set up, test, and adjust manufacturing machinery or equipment, using any combination of electrical, electronic, mechanical, hydraulic, pneumatic, or computer technologies."
17-3029,22.62,28.93,35.24,41.55,17-3029.08,Photonics Technicians,"Build, install, test, or maintain optical or fiber optic equipment, such as lasers, lenses, or mirrors, using spectrometers, interferometers, or related equipment."
17-3029,22.62,28.93,35.24,41.55,17-3029.07,Mechanical Engineering Technologists,"Assist mechanical engineers in such activities as generation, transmission, or use of mechanical or fluid energy. Prepare layouts of machinery or equipment or plan the flow of work. May conduct statistical studies or analyze production costs."
17-3029,22.62,28.93,35.24,41.55,17-3029.06,Manufacturing Engineering Technologists,"Develop tools, implement designs, or integrate machinery, equipment, or computer technologies to ensure effective manufacturing processes."
17-3029,22.62,28.93,35.24,41.55,17-3029.05,Industrial Engineering Technologists,"Assist industrial engineers in such activities as quality control, inventory control, or material flow methods. May conduct statistical studies or analyze production costs."
17-3029,22.62,28.93,35.24,41.55,17-3029.04,Electronics Engineering Technologists,Assist electronics engineers in such activities as electronics systems and instrumentation design or digital signal processing.
17-3029,22.62,28.93,35.24,41.55,17-3029.03,Electromechanical Engineering Technologists,"Assist electromechanical engineers in such activities as computer-based process control, instrumentation, or machine design. May prepare layouts of machinery or equipment, plan the flow of work, conduct statistical studies, or analyze production costs."
17-3029,22.62,28.93,35.24,41.55,17-3029.02,Electrical Engineering Technologists,"Assist electrical engineers in such activities as process control, electrical power distribution, or instrumentation design. May prepare layouts of electrical transmission or distribution systems, supervise the flow of work, estimate project costs, or participate in research studies."
17-3029,22.62,28.93,35.24,41.55,17-3029.01,Non-Destructive Testing Specialists,"Test the safety of structures, vehicles, or vessels using x-ray, ultrasound, fiber optic or related equipment."
17-3029,22.62,28.93,35.24,41.55,17-3029.00,"Engineering Technicians, Except Drafters, All Other","All engineering technicians, except drafters, not listed separately."
17-3031,21.64,25.39,29.13,32.88,17-3031.02,Mapping Technicians,"Calculate mapmaking information from field notes, and draw and verify accuracy of topographical maps."
17-3031,21.64,25.39,29.13,32.88,17-3031.01,Surveying Technicians,"Adjust and operate surveying instruments, such as the theodolite and electronic distance-measuring equipment, and compile notes, make sketches and enter data into computers."
17-3031,21.64,25.39,29.13,32.88,17-3031.00,Surveying and Mapping Technicians,"Perform surveying and mapping duties, usually under the direction of an engineer, surveyor, cartographer, or photogrammetrist to obtain data used for construction, mapmaking, boundary location, mining, or other purposes. May calculate mapmaking information and create maps from source data, such as surveying notes, aerial photography, satellite data, or other maps to show topographical features, political boundaries, and other features. May verify accuracy and completeness of maps."
19-1011,21.83,25.40,28.96,32.53,19-1011.00,Animal Scientists,"Conduct research in the genetics, nutrition, reproduction, growth, and development of domestic farm animals."
19-1012,35.28,41.73,48.18,54.63,19-1012.00,Food Scientists and Technologists,"Use chemistry, microbiology, engineering, and other sciences to study the principles underlying the processing and deterioration of foods; analyze food content to determine levels of vitamins, fat, sugar, and protein; discover new food sources; research ways to make processed foods safe, palatable, and healthful; and apply food science knowledge to determine best ways to process, package, preserve, store, and distribute food."
19-1013,27.72,43.01,58.30,73.59,19-1013.00,Soil and Plant Scientists,"Conduct research in breeding, physiology, production, yield, and management of crops and agricultural plants or trees, shrubs, and nursery stock, their growth in soils, and control of pests; or study the chemical, physical, biological, and mineralogical composition of soils as they relate to plant or crop growth. May classify and map soils and investigate effects of alternative practices on soil and crop productivity."
19-1021,28.58,37.66,46.73,55.81,19-1021.00,Biochemists and Biophysicists,"Study the chemical composition or physical principles of living cells and organisms, their electrical and mechanical energy, and related phenomena. May conduct research to further understanding of the complex chemical combinations and reactions involved in metabolism, reproduction, growth, and heredity. May determine the effects of foods, drugs, serums, hormones, and other substances on tissues and vital processes of living organisms."
19-1022,27.68,34.77,41.87,48.96,19-1022.00,Microbiologists,"Investigate the growth, structure, development, and other characteristics of microscopic organisms, such as bacteria, algae, or fungi. Includes medical microbiologists who study the relationship between organisms and disease or the effects of antibiotics on microorganisms."
19-1023,27.87,34.11,40.36,46.60,19-1023.00,Zoologists and Wildlife Biologists,"Study the origins, behavior, diseases, genetics, and life processes of animals and wildlife. May specialize in wildlife research and management. May collect and analyze biological data to determine the environmental effects of present and potential use of land and water habitats."
19-1029,34.79,38.26,41.72,45.19,19-1029.03,Geneticists,"Research and study the inheritance of traits at the molecular, organism or population level. May evaluate or treat patients with genetic disorders."
19-1029,34.79,38.26,41.72,45.19,19-1029.02,Molecular and Cellular Biologists,Research and study cellular molecules and organelles to understand cell function and organization.
19-1029,34.79,38.26,41.72,45.19,19-1029.01,Bioinformatics Scientists,"Conduct research using bioinformatics theory and methods in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. May design databases and develop algorithms for processing and analyzing genomic information, or other biological information."
19-1029,34.79,38.26,41.72,45.19,19-1029.00,"Biological Scientists, All Other",All biological scientists not listed separately.
19-1031,27.78,33.58,39.37,45.17,19-1031.03,Park Naturalists,"Plan, develop, and conduct programs to inform public of historical, natural, and scientific features of national, state, or local park."
19-1031,27.78,33.58,39.37,45.17,19-1031.02,Range Managers,"Research or study range land management practices to provide sustained production of forage, livestock, and wildlife."
19-1031,27.78,33.58,39.37,45.17,19-1031.01,Soil and Water Conservationists,"Plan or develop coordinated practices for soil erosion control, soil or water conservation, or sound land use."
19-1031,27.78,33.58,39.37,45.17,19-1031.00,Conservation Scientists,"Manage, improve, and protect natural resources to maximize their use without damaging the environment. May conduct soil surveys and develop plans to eliminate soil erosion or to protect rangelands. May instruct farmers, agricultural production managers, or ranchers in best ways to use crop rotation, contour plowing, or terracing to conserve soil and water; in the number and kind of livestock and forage plants best suited to particular ranges; and in range and farm improvements, such as fencing and reservoirs for stock watering."
19-1032,33.60,37.57,41.53,45.50,19-1032.00,Foresters,"Manage public and private forested lands for economic, recreational, and conservation purposes. May inventory the type, amount, and location of standing timber, appraise the timbers worth, negotiate the purchase, and draw up contracts for procurement. May determine how to conserve wildlife habitats, creek beds, water quality, and soil stability, and how best to comply with environmental regulations. May devise plans for planting and growing new trees, monitor trees for healthy growth, and determine optimal harvesting schedules."
19-1041,34.54,49.49,64.45,79.40,19-1041.00,Epidemiologists,"Investigate and describe the determinants and distribution of disease, disability, or health outcomes. May develop the means for prevention and control."
19-1042,NOPE,NOPE,NOPE,NOPE,19-1042.00,"Medical Scientists, Except Epidemiologists","Conduct research dealing with the understanding of human diseases and the improvement of human health. Engage in clinical investigation, research and development, or other related activities. Includes physicians, dentists, public health specialists, pharmacologists, and medical pathologists who primarily conduct research."
19-1099,34.70,38.82,42.94,47.06,19-1099.00,"Life Scientists, All Other",All life scientists not listed separately.
19-2011,51.14,72.79,94.44,116.09,19-2011.00,Astronomers,"Observe, research, and interpret astronomical phenomena to increase basic knowledge or apply such information to practical problems."
19-2012,71.21,77.99,84.76,91.54,19-2012.00,Physicists,"Conduct research into physical phenomena, develop theories on the basis of observation and experiments, and devise methods to apply physical laws and theories."
19-2021,34.87,46.06,57.25,68.44,19-2021.00,Atmospheric and Space Scientists,"Investigate atmospheric phenomena and interpret meteorological data, gathered by surface and air stations, satellites, and radar to prepare reports and forecasts for public and other uses. Includes weather analysts and forecasters whose functions require the detailed knowledge of meteorology."
19-2031,32.29,40.38,48.46,56.55,19-2031.00,Chemists,Conduct qualitative and quantitative chemical analyses or experiments in laboratories for quality or process control or to develop new products or knowledge.
19-2032,44.92,53.91,62.89,71.88,19-2032.00,Materials Scientists,"Research and study the structures and chemical properties of various natural and synthetic or composite materials, including metals, alloys, rubber, ceramics, semiconductors, polymers, and glass. Determine ways to strengthen or combine materials or develop new materials with new or specific properties for use in a variety of products and applications. Includes glass scientists, ceramic scientists, metallurgical scientists, and polymer scientists."
19-2041,28.39,42.02,55.65,69.28,19-2041.03,Industrial Ecologists,Apply principles and processes of natural ecosystems to develop models for efficient industrial systems. Use knowledge from the physical and social sciences to maximize effective use of natural resources in the production and use of goods and services. Examine societal issues and their relationship with both technical systems and the environment.
19-2041,28.39,42.02,55.65,69.28,19-2041.02,Environmental Restoration Planners,"Collaborate with field and biology staff to oversee the implementation of restoration projects and to develop new products. Process and synthesize complex scientific data into practical strategies for restoration, monitoring or management."
19-2041,28.39,42.02,55.65,69.28,19-2041.01,Climate Change Analysts,"Research and analyze policy developments related to climate change. Make climate-related recommendations for actions such as legislation, awareness campaigns, or fundraising approaches."
19-2041,28.39,42.02,55.65,69.28,19-2041.00,"Environmental Scientists and Specialists, Including Health","Conduct research or perform investigation for the purpose of identifying, abating, or eliminating sources of pollutants or hazards that affect either the environment or the health of the population. Using knowledge of various scientific disciplines, may collect, synthesize, study, report, and recommend action based on data derived from measurements or observations of air, food, soil, water, and other sources."
19-2042,35.57,41.29,47.00,52.72,19-2042.00,"Geoscientists, Except Hydrologists and Geographers","Study the composition, structure, and other physical aspects of the Earth. May use geological, physics, and mathematics knowledge in exploration for oil, gas, minerals, or underground water; or in waste disposal, land reclamation, or other environmental problems. May study the Earths internal composition, atmospheres, oceans, and its magnetic, electrical, and gravitational forces. Includes mineralogists, crystallographers, paleontologists, stratigraphers, geodesists, and seismologists."
19-2043,36.70,48.78,60.85,72.93,19-2043.00,Hydrologists,"Research the distribution, circulation, and physical properties of underground and surface waters; and study the form and intensity of precipitation, its rate of infiltration into the soil, movement through the earth, and its return to the ocean and atmosphere."
19-2099,51.36,74.51,97.66,120.81,19-2099.01,Remote Sensing Scientists and Technologists,"Apply remote sensing principles and methods to analyze data and solve problems in areas such as natural resource management, urban planning, or homeland security. May develop new sensor systems, analytical techniques, or new applications for existing systems."
19-2099,51.36,74.51,97.66,120.81,19-2099.00,"Physical Scientists, All Other",All physical scientists not listed separately.
19-3011,30.36,40.53,50.70,60.87,19-3011.01,Environmental Economists,"Conduct economic analysis related to environmental protection and use of the natural environment, such as water, air, land, and renewable energy resources. Evaluate and quantify benefits, costs, incentives, and impacts of alternative options using economic principles and statistical techniques."
19-3011,30.36,40.53,50.70,60.87,19-3011.00,Economists,"Conduct research, prepare reports, or formulate plans to address economic problems related to the production and distribution of goods and services or monetary and fiscal policy. May collect and process economic and statistical data using sampling techniques and econometric methods."
19-3022,22.10,31.59,41.07,50.56,19-3022.00,Survey Researchers,"Plan, develop, or conduct surveys. May analyze and interpret the meaning of survey data, determine survey objectives, or suggest or test question wording. Includes social scientists who primarily design questionnaires or supervise survey teams."
19-3031,35.13,54.11,73.08,92.06,19-3031.03,Counseling Psychologists,"Assess and evaluate individuals problems through the use of case history, interview, and observation and provide individual or group counseling services to assist individuals in achieving more effective personal, social, educational, and vocational development and adjustment."
19-3031,35.13,54.11,73.08,92.06,19-3031.02,Clinical Psychologists,"Diagnose or evaluate mental and emotional disorders of individuals through observation, interview, and psychological tests, and formulate and administer programs of treatment."
19-3031,35.13,54.11,73.08,92.06,19-3031.01,School Psychologists,Investigate processes of learning and teaching and develop psychological principles and techniques applicable to educational problems.
19-3031,35.13,54.11,73.08,92.06,19-3031.00,"Clinical, Counseling, and School Psychologists","Diagnose and treat mental disorders; learning disabilities; and cognitive, behavioral, and emotional problems, using individual, child, family, and group therapies. May design and implement behavior modification programs."
19-3032,34.96,53.70,72.43,91.17,19-3032.00,Industrial-Organizational Psychologists,"Apply principles of psychology to human resources, administration, management, sales, and marketing problems. Activities may include policy planning; employee testing and selection, training and development; and organizational development and analysis. May work with management to organize the work setting to improve worker productivity."
19-3039,33.19,43.86,54.52,65.19,19-3039.01,Neuropsychologists and Clinical Neuropsychologists,Apply theories and principles of neuropsychology to diagnose and treat disorders of higher cerebral functioning.
19-3039,33.19,43.86,54.52,65.19,19-3039.00,"Psychologists, All Other",All psychologists not listed separately.
19-3041,56.63,68.22,79.80,91.39,19-3041.00,Sociologists,"Study human society and social behavior by examining the groups and social institutions that people form, as well as various social, religious, political, and business organizations. May study the behavior and interaction of groups, trace their origin and growth, and analyze the influence of group activities on individual members."
19-3051,27.13,34.48,41.83,49.18,19-3051.00,Urban and Regional Planners,"Develop comprehensive plans and programs for use of land and physical facilities of jurisdictions, such as towns, cities, counties, and metropolitan areas."
19-3091,28.43,30.79,33.16,35.52,19-3091.02,Archeologists,"Conduct research to reconstruct record of past human life and culture from human remains, artifacts, architectural features, and structures recovered through excavation, underwater recovery, or other means of discovery."
19-3091,28.43,30.79,33.16,35.52,19-3091.01,Anthropologists,"Research, evaluate, and establish public policy concerning the origins of humans; their physical, social, linguistic, and cultural development; and their behavior, as well as the cultures, organizations, and institutions they have created."
19-3091,28.43,30.79,33.16,35.52,19-3091.00,Anthropologists and Archeologists,"Study the origin, development, and behavior of human beings. May study the way of life, language, or physical characteristics of people in various parts of the world. May engage in systematic recovery and examination of material evidence, such as tools or pottery remaining from past human cultures, in order to determine the history, customs, and living habits of earlier civilizations."
19-3092,37.84,45.57,53.29,61.02,19-3092.00,Geographers,"Study the nature and use of areas of the Earths surface, relating and interpreting interactions of physical and cultural phenomena. Conduct research on physical aspects of a region, including land forms, climates, soils, plants, and animals, and conduct research on the spatial implications of human activities within a given area, including social characteristics, economic activities, and political organization, as well as researching interdependence between regions at scales ranging from local to global."
19-3093,33.03,38.56,44.08,49.61,19-3093.00,Historians,"Research, analyze, record, and interpret the past as recorded in sources, such as government and institutional records, newspapers and other periodicals, photographs, interviews, films, electronic media, and unpublished manuscripts, such as personal diaries and letters."
19-3094,43.02,62.37,81.73,101.08,19-3094.00,Political Scientists,"Study the origin, development, and operation of political systems. May study topics, such as public opinion, political decision-making, and ideology. May analyze the structure and operation of governments, as well as various political entities. May conduct public opinion surveys, analyze election results, or analyze public documents."
19-3099,27.00,36.68,46.35,56.03,19-3099.01,Transportation Planners,"Prepare studies for proposed transportation projects. Gather, compile, and analyze data. Study the use and operation of transportation systems. Develop transportation models or simulations."
19-3099,27.00,36.68,46.35,56.03,19-3099.00,"Social Scientists and Related Workers, All Other",All social scientists and related workers not listed separately.
19-4011,17.61,20.25,22.90,25.54,19-4011.02,Food Science Technicians,Perform standardized qualitative and quantitative tests to determine physical or chemical properties of food or beverage products.
19-4011,17.61,20.25,22.90,25.54,19-4011.01,Agricultural Technicians,Set up or maintain laboratory equipment and collect samples from crops or animals. Prepare specimens or record data to assist scientists in biology or related life science experiments.
19-4011,17.61,20.25,22.90,25.54,19-4011.00,Agricultural and Food Science Technicians,"Work with agricultural and food scientists in food, fiber, and animal research, production, and processing; and assist with animal breeding and nutrition. Conduct tests and experiments to improve yield and quality of crops or to increase the resistance of plants and animals to disease or insects. Includes technicians who assist food scientists or technologists in the research and development of production technology, quality control, packaging, processing, and use of foods."
19-4021,17.22,23.33,29.43,35.54,19-4021.00,Biological Technicians,"Assist biological and medical scientists in laboratories. Set up, operate, and maintain laboratory instruments and equipment, monitor experiments, make observations, and calculate and record results. May analyze organic substances, such as blood, food, and drugs."
19-4031,20.54,25.21,29.88,34.55,19-4031.00,Chemical Technicians,"Conduct chemical and physical laboratory tests to assist scientists in making qualitative and quantitative analyses of solids, liquids, and gaseous materials for research and development of new products or processes, quality control, maintenance of environmental standards, and other work involving experimental, theoretical, or practical application of chemistry and related sciences."
19-4041,27.10,31.41,35.72,40.03,19-4041.02,Geological Sample Test Technicians,"Test or analyze geological samples, crude oil, or minerals to detect presence of petroleum, gas, or mineral deposits indicating potential for exploration or production or to determine physical or chemical properties to ensure that products meet quality standards."
19-4041,27.10,31.41,35.72,40.03,19-4041.01,Geophysical Data Technicians,"Measure, record, or evaluate geological data, using sonic, electronic, electrical, seismic, or gravity-measuring instruments to prospect for oil or gas. May collect or evaluate core samples or cuttings."
19-4041,27.10,31.41,35.72,40.03,19-4041.00,Geological and Petroleum Technicians,"Assist scientists or engineers in the use of electronic, sonic, or nuclear measuring instruments in both laboratory and production activities to obtain data indicating potential resources such as metallic ore, minerals, gas, coal, or petroleum. Analyze mud and drill cuttings. Chart pressure, temperature, and other characteristics of wells or bore holes. Investigate and collect information leading to the possible discovery of new metallic ore, minerals, gas, coal, or petroleum deposits."
19-4051,36.28,45.19,54.09,63.00,19-4051.02,Nuclear Monitoring Technicians,"Collect and test samples to monitor results of nuclear experiments and contamination of humans, facilities, and environment."
19-4051,36.28,45.19,54.09,63.00,19-4051.01,Nuclear Equipment Operation Technicians,"Operate equipment used for the release, control, or utilization of nuclear energy to assist scientists in laboratory or production activities."
19-4051,36.28,45.19,54.09,63.00,19-4051.00,Nuclear Technicians,"Assist nuclear physicists, nuclear engineers, or other scientists in laboratory or production activities. May operate, maintain, or provide quality control for nuclear testing and research equipment. May monitor radiation."
19-4061,17.69,23.59,29.50,35.40,19-4061.01,City and Regional Planning Aides,"Compile data from various sources, such as maps, reports, and field and file investigations, for use by city planner in making planning studies."
19-4061,17.69,23.59,29.50,35.40,19-4061.00,Social Science Research Assistants,"Assist social scientists in laboratory, survey, and other social science research. May help prepare findings for publication and assist in laboratory analysis, quality control, or data management."
19-4091,17.73,23.22,28.72,34.21,19-4091.00,"Environmental Science and Protection Technicians, Including Health","Perform laboratory and field tests to monitor the environment and investigate sources of pollution, including those that affect health, under the direction of an environmental scientist, engineer, or other specialist. May collect samples of gases, soil, water, and other materials for testing."
19-4092,22.06,26.42,30.78,35.14,19-4092.00,Forensic Science Technicians,"Collect, identify, classify, and analyze physical evidence related to criminal investigations. Perform tests on weapons or substances, such as fiber, hair, and tissue to determine significance to investigation. May testify as expert witnesses on evidence or crime laboratory techniques. May serve as specialists in area of expertise, such as ballistics, fingerprinting, handwriting, or biochemistry."
19-4093,26.55,30.93,35.31,39.69,19-4093.00,Forest and Conservation Technicians,"Provide technical assistance regarding the conservation of soil, water, forests, or related natural resources. May compile data pertaining to size, content, condition, and other characteristics of forest tracts, under the direction of foresters; or train and lead forest workers in forest propagation, fire prevention and suppression. May assist conservation scientists in managing, improving, and protecting rangelands and wildlife habitats."
19-4099,16.93,22.70,28.46,34.23,19-4099.03,Remote Sensing Technicians,"Apply remote sensing technologies to assist scientists in areas such as natural resources, urban planning, or homeland security. May prepare flight plans or sensor configurations for flight trips."
19-4099,16.93,22.70,28.46,34.23,19-4099.02,Precision Agriculture Technicians,"Apply geospatial technologies, including geographic information systems (GIS) and Global Positioning System (GPS), to agricultural production or management activities, such as pest scouting, site-specific pesticide application, yield mapping, or variable-rate irrigation. May use computers to develop or analyze maps or remote sensing images to compare physical topography with data on soils, fertilizer, pests, or weather."
19-4099,16.93,22.70,28.46,34.23,19-4099.01,Quality Control Analysts,"Conduct tests to determine quality of raw materials, bulk intermediate and finished products. May conduct stability sample tests."
19-4099,16.93,22.70,28.46,34.23,19-4099.00,"Life, Physical, and Social Science Technicians, All Other","All life, physical, and social science technicians not listed separately."
21-1011,16.97,22.02,27.06,32.11,21-1011.00,Substance Abuse and Behavioral Disorder Counselors,"Counsel and advise individuals with alcohol, tobacco, drug, or other problems, such as gambling and eating disorders. May counsel individuals, families, or groups or engage in prevention programs."
21-1012,35.15,38.39,41.63,44.87,21-1012.00,"Educational, Guidance, School, and Vocational Counselors",Counsel individuals and provide group educational and vocational guidance services.
21-1013,35.04,47.45,59.87,72.28,21-1013.00,Marriage and Family Therapists,"Diagnose and treat mental and emotional disorders, whether cognitive, affective, or behavioral, within the context of marriage and family systems. Apply psychotherapeutic and family systems theories and techniques in the delivery of services to individuals, couples, and families for the purpose of treating such diagnosed nervous and mental disorders."
21-1014,16.97,22.02,27.06,32.11,21-1014.00,Mental Health Counselors,"Counsel with emphasis on prevention. Work with individuals and groups to promote optimum mental and emotional health. May help individuals deal with issues associated with addictions and substance abuse; family, parenting, and marital problems; stress management; self-esteem; and aging."
21-1015,15.04,20.66,26.28,31.90,21-1015.00,Rehabilitation Counselors,"Counsel individuals to maximize the independence and employability of persons coping with personal, social, and vocational difficulties that result from birth defects, illness, disease, accidents, or the stress of daily life. Coordinate activities for residents of care and treatment facilities. Assess client needs and design and implement rehabilitation programs that may include personal and vocational counseling, training, and job placement."
21-1019,28.05,30.92,33.79,36.66,21-1019.00,"Counselors, All Other",All counselors not listed separately.
21-1021,21.51,25.77,30.03,34.29,21-1021.00,"Child, Family, and School Social Workers","Provide social services and assistance to improve the social and psychological functioning of children and their families and to maximize the family well-being and the academic functioning of children. May assist parents, arrange adoptions, and find foster homes for abandoned or abused children. In schools, they address such problems as teenage pregnancy, misbehavior, and truancy. May also advise teachers."
21-1022,26.51,30.39,34.26,38.14,21-1022.00,Healthcare Social Workers,"Provide individuals, families, and groups with the psychosocial support needed to cope with chronic, acute, or terminal illnesses. Services include advising family care givers, providing patient education and counseling, and making referrals for other services. May also provide care and case management or interventions designed to promote health, prevent disease, and address barriers to access to healthcare."
